"תחנה","תאריך","כמות הגשם העונתית (מ""מ)"
"נחל עומר קמ 129 09/1973-11/2023","1973-1974","79.0"
"נחל עומר קמ 129 09/1973-11/2023","1974-1975","79.0"
"נחל עומר קמ 129 09/1973-11/2023","1975-1976","31.0"
"נחל עומר קמ 129 09/1973-11/2023","1976-1977","13.0"
"נחל עומר קמ 129 09/1973-11/2023","1977-1978","19.5"
"נחל עומר קמ 129 09/1973-11/2023","1978-1979","22.0"
"נחל עומר קמ 129 09/1973-11/2023","1979-1980","26.0"
"נחל עומר קמ 129 09/1973-11/2023","1980-1981","85.0"
"נחל עומר קמ 129 09/1973-11/2023","1981-1982","35.0"
"נחל עומר קמ 129 09/1973-11/2023","1982-1983","47.0"
"נחל עומר קמ 129 09/1973-11/2023","1983-1984","1.0"
"נחל עומר קמ 129 09/1973-11/2023","1984-1985","41.0"
"נחל עומר קמ 129 09/1973-11/2023","1985-1986","65.0"
"נחל עומר קמ 129 09/1973-11/2023","1986-1987","50.0"
"נחל עומר קמ 129 09/1973-11/2023","1987-1988","56.0"
"נחל עומר קמ 129 09/1973-11/2023","1988-1989","44.0"
"נחל עומר קמ 129 09/1973-11/2023","1989-1990","48.0"
"נחל עומר קמ 129 09/1973-11/2023","1990-1991","47.0"
"נחל עומר קמ 129 09/1973-11/2023","1991-1992","26.0"
"נחל עומר קמ 129 09/1973-11/2023","1992-1993","9.0"
"נחל עומר קמ 129 09/1973-11/2023","1993-1994","53.0"
"נחל עומר קמ 129 09/1973-11/2023","1994-1995","39.0"
"נחל עומר קמ 129 09/1973-11/2023","1995-1996","24.0"
"נחל עומר קמ 129 09/1973-11/2023","1996-1997","29.0"
"נחל עומר קמ 129 09/1973-11/2023","1997-1998","38.0"
"נחל עומר קמ 129 09/1973-11/2023","1998-1999","16.0"
"נחל עומר קמ 129 09/1973-11/2023","1999-2000","7.0"
"נחל עומר קמ 129 09/1973-11/2023","2000-2001","22.0"
"נחל עומר קמ 129 09/1973-11/2023","2001-2002","6.0"
"נחל עומר קמ 129 09/1973-11/2023","2002-2003","19.0"
"נחל עומר קמ 129 09/1973-11/2023","2003-2004","35.0"
"נחל עומר קמ 129 09/1973-11/2023","2004-2005","32.0"
"נחל עומר קמ 129 09/1973-11/2023","2005-2006","16.0"
"נחל עומר קמ 129 09/1973-11/2023","2006-2007","19.0"
"נחל עומר קמ 129 09/1973-11/2023","2007-2008","26.0"
"נחל עומר קמ 129 09/1973-11/2023","2008-2009","17.0"
"נחל עומר קמ 129 09/1973-11/2023","2009-2010","66.0"
"נחל עומר קמ 129 09/1973-11/2023","2010-2011","42.0"
"נחל עומר קמ 129 09/1973-11/2023","2011-2012","16.0"
"נחל עומר קמ 129 09/1973-11/2023","2012-2013","29.0"
"נחל עומר קמ 129 09/1973-11/2023","2013-2014","69.0"
"נחל עומר קמ 129 09/1973-11/2023","2014-2015","41.0"
"נחל עומר קמ 129 09/1973-11/2023","2015-2016","56.0"
"נחל עומר קמ 129 09/1973-11/2023","2016-2017","23.0"
"נחל עומר קמ 129 09/1973-11/2023","2017-2018","79.5"
"נחל עומר קמ 129 09/1973-11/2023","2018-2019","61.0"
"נחל עומר קמ 129 09/1973-11/2023","2019-2020","85.5"
"נחל עומר קמ 129 09/1973-11/2023","2020-2021","12.5"
"נחל עומר קמ 129 09/1973-11/2023","2021-2022","22.0"
